spay_neuter,borough,year,month,day_of_week,latitude,longitude,mixed/other,pit_bull,shih_tzu,chihuahua,german_shepherd,yorkshire_terrier
True,bronx,2018,6,5,40.830669,-73.908161,True,False,False,False,False,False
False,bronx,2018,7,2,40.837791,-73.923339,False,True,False,False,False,False
False,bronx,2018,7,4,40.868509,-73.846691,True,False,False,False,False,False
False,bronx,2018,7,2,40.875262,-73.872027,False,True,False,False,False,False
False,bronx,2018,7,5,40.889527,-73.872585,False,True,False,False,False,False
False,bronx,2018,6,5,40.827329,-73.82217,True,False,False,False,False,False
False,bronx,2018,6,0,40.822168,-73.922616,True,False,False,False,False,False
False,bronx,2018,7,5,40.86894,-73.899995,True,False,False,False,False,False
False,bronx,2018,7,2,40.875262,-73.872027,False,False,False,True,False,False
False,bronx,2018,7,2,40.852508,-73.913291,True,False,False,False,False,False
False,bronx,2018,7,6,40.862486,-73.886448,True,False,False,False,False,False
False,bronx,2018,7,1,40.843267,-73.860417,False,True,False,False,False,False
False,bronx,2018,7,6,40.868509,-73.846691,True,False,False,False,False,False
False,bronx,2018,7,2,40.86894,-73.899995,False,True,False,False,False,False
True,bronx,2018,7,4,40.846741,-73.840788,True,False,False,False,False,False
False,bronx,2018,7,6,40.86894,-73.899995,False,True,False,False,False,False
True,bronx,2018,7,3,40.875262,-73.872027,True,False,False,False,False,False
True,bronx,2018,7,6,40.805583,-73.916595,True,False,False,False,False,False
False,bronx,2018,7,1,40.830669,-73.908161,False,False,False,False,False,True
False,bronx,2018,7,0,40.875262,-73.872027,False,True,False,False,False,False
False,bronx,2018,7,5,40.869594,-73.795848,False,True,False,False,False,False
False,bronx,2018,7,2,40.81869,-73.858474,False,True,False,False,False,False
False,bronx,2018,7,2,40.81869,-73.858474,False,True,False,False,False,False
False,bronx,2018,7,4,40.822168,-73.922616,False,True,False,False,False,False
False,bronx,2018,7,1,40.86894,-73.899995,True,False,False,False,False,False
False,bronx,2018,7,6,40.837791,-73.923339,False,True,False,False,False,False
False,bronx,2018,6,3,40.86894,-73.899995,True,False,False,False,False,False
False,bronx,2018,7,5,40.842344,-73.879062,True,False,False,False,False,False
False,bronx,2018,4,5,40.805583,-73.916595,True,False,False,False,False,False
False,bronx,2018,7,5,40.829685,-73.869373,True,False,False,False,False,False
False,bronx,2018,7,6,40.837791,-73.923339,False,True,False,False,False,False
False,bronx,2018,7,6,40.845707,-73.897923,True,False,False,False,False,False
False,bronx,2018,8,2,40.862486,-73.886448,False,True,False,False,False,False
False,bronx,2018,8,0,40.829685,-73.869373,False,True,False,False,False,False
False,bronx,2018,8,0,40.829685,-73.869373,False,True,False,False,False,False
False,bronx,2018,8,5,40.862486,-73.886448,False,True,False,False,False,False
False,bronx,2018,7,1,40.814798,-73.908601,False,False,False,False,False,True
False,bronx,2018,8,1,40.814798,-73.908601,True,False,False,False,False,False
False,bronx,2018,7,2,40.81869,-73.858474,False,True,False,False,False,False
False,bronx,2018,7,2,40.81869,-73.858474,False,True,False,False,False,False
False,bronx,2018,7,4,40.822168,-73.922616,True,False,False,False,False,False
False,bronx,2018,8,3,40.846741,-73.840788,False,False,False,False,False,True
True,bronx,2018,8,4,40.827329,-73.82217,False,False,True,False,False,False
False,bronx,2018,8,4,40.862486,-73.886448,True,False,False,False,False,False
False,bronx,2018,8,5,40.852508,-73.913291,True,False,False,False,False,False
False,bronx,2018,8,1,40.830669,-73.908161,False,False,False,True,False,False
False,bronx,2018,8,4,40.889527,-73.872585,False,True,False,False,False,False
False,bronx,2018,8,6,40.842344,-73.879062,False,True,False,False,False,False
False,bronx,2018,7,6,40.81869,-73.858474,False,False,True,False,False,False
False,bronx,2018,8,1,40.814798,-73.908601,True,False,False,False,False,False
False,bronx,2018,8,1,40.814798,-73.908601,True,False,False,False,False,False
False,bronx,2018,8,1,40.814798,-73.908601,True,False,False,False,False,False
False,bronx,2018,8,1,40.814798,-73.908601,True,False,False,False,False,False
True,bronx,2018,8,2,40.890964,-73.846239,True,False,False,False,False,False
False,bronx,2018,8,2,40.814798,-73.908601,True,False,False,False,False,False
False,bronx,2018,8,1,40.829685,-73.869373,True,False,False,False,False,False
False,bronx,2018,8,3,40.837791,-73.923339,True,False,False,False,False,False
False,bronx,2018,8,6,40.842344,-73.879062,True,False,False,False,False,False
False,bronx,2018,8,6,40.842344,-73.879062,True,False,False,False,False,False
False,bronx,2018,8,0,40.890964,-73.846239,False,True,False,False,False,False
False,bronx,2018,8,1,40.862486,-73.886448,True,False,False,False,False,False
False,bronx,2018,8,0,40.830669,-73.908161,False,False,False,True,False,False
True,bronx,2018,8,2,40.829685,-73.869373,False,False,False,False,False,True
False,bronx,2018,8,5,40.852508,-73.913291,True,False,False,False,False,False
